name,code,level,es,ms,hs,configuration,type,ward,lat,lon,modernization,mod_status,facilitiesconditionindex_2008,facilitiesconditionindex_2013,fortyforty,sy15_estenroll_total,sy15_estenroll_ps,sy15_estenroll_pk,sy15_estenroll_kg,sy15_estenroll_01,sy15_estenroll_02,sy15_estenroll_03,sy15_estenroll_04,sy15_estenroll_05,sy15_estenroll_06,sy15_estenroll_07,sy15_estenroll_08,sy15_estenroll_09,sy15_estenroll_10,sy15_estenroll_11,sy15_estenroll_12,sy15_estenroll_ao,sy15_estenroll_retained,sy15_estenroll_ell,sy15_estenroll_farm,sy15_estenroll_homelessfoster,sy15_estenroll_sped,sy15_estenroll_atrisk
Aiton ES,202,es,TRUE,FALSE,FALSE,Elementary School,Regular,7,38.89700181,-76.93370092,None,planned,Unsatisfactory,Fair,TRUE,245,37,45,35,31,29,30,22,16,0,0,0,0,0,0,0,0,31,2,202,19,22,180
Amidon-Bowen ES,203,es,TRUE,FALSE,FALSE,Elementary School,Regular,6,38.8795154,-77.0181253,Phase,inProgress,Poor,TBD,TRUE,372,29,36,51,51,59,52,48,46,0,0,0,0,0,0,0,0,47,11,278,25,57,271
Anacostia HS,450,hs,FALSE,FALSE,TRUE,High School,Regular,8,38.87008406,-76.98307725,Full,complete,Good,TBD,TRUE,774,0,0,0,0,0,0,0,0,0,0,0,326,214,126,90,18,327,3,605,69,227,612
Ballou HS,452,hs,FALSE,FALSE,TRUE,High School,Vocational Shared Time,8,38.83938266,-77.00097526,Full,complete,Good,TBD,TRUE,655,0,0,0,0,0,0,0,0,0,0,0,310,137,115,79,14,322,2,547,32,208,470
Ballou STAY,462,ao,FALSE,FALSE,FALSE,STAY,Alternative Education,8,38.83938266,-77.00097526,,,,,FALSE,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,0,0,283,113,38,0
Bancroft ES,204,es,TRUE,FALSE,FALSE,Elementary School,Regular,1,38.93431836,-77.04055344,None,planned,Unsatisfactory,Fair,FALSE,504,50,60,72,71,65,68,47,71,0,0,0,0,0,0,0,0,45,288,196,3,66,161
Barnard ES,205,es,TRUE,FALSE,FALSE,Elementary School,Regular,4,38.94823095,-77.01777708,Full (Pre 2008),complete,Fair,TBD,FALSE,605,64,80,91,90,78,81,72,49,0,0,0,0,0,0,0,0,59,204,300,10,87,268
Beers ES,206,es,TRUE,FALSE,FALSE,Elementary School,Regular,7,38.86434984,-76.95560475,None,planned,Unsatisfactory,Fair,FALSE,435,44,55,57,64,44,64,42,65,0,0,0,0,0,0,0,0,58,3,279,26,104,259
Benjamin Banneker HS,402,hs,FALSE,FALSE,TRUE,High School,Magnet,1,38.92383276,-77.02397697,Future Full,complete,Unsatisfactory,Fair,FALSE,445,0,0,0,0,0,0,0,0,0,0,0,156,119,76,94,0,8,5,128,8,6,100
Brent ES,212,es,TRUE,FALSE,FALSE,Elementary School,Regular,6,38.88480121,-77.00145985,Phase,inProgress,Unsatisfactory,TBD,FALSE,363,28,40,60,56,54,60,46,19,0,0,0,0,0,0,0,0,5,6,22,0,32,20
Brightwood EC,213,campus,TRUE,TRUE,FALSE,Education Campus,Regular,4,38.96053573,-77.03068885,Full,complete,Fair,TBD,FALSE,635,38,49,75,81,88,58,47,51,55,39,54,0,0,0,0,0,60,401,348,4,68,291
Brookland EC @ Bunker Hill,346,campus,FALSE,FALSE,FALSE,Education Campus,Regular,5,38.94201247,-76.98499564,Phase,inProgress,Unsatisfactory,TBD,FALSE,232,15,20,19,18,20,22,19,22,30,21,26,0,0,0,0,0,20,8,138,3,28,106
Browne EC,404,campus,TRUE,TRUE,FALSE,Education Campus,Regular,5,38.90259888,-76.97066706,None,planned,Poor,Fair,TRUE,348,30,42,33,26,30,35,30,28,34,27,33,0,0,0,0,0,67,16,268,37,59,236
Bruce-Monroe ES @ Park View,296,es,TRUE,FALSE,FALSE,Elementary School,Regular,1,38.9344141,-77.02118567,Phase,inProgress,Unsatisfactory,TBD,FALSE,470,46,55,70,75,66,64,55,39,0,0,0,0,0,0,0,0,50,313,296,35,52,255
Burroughs EC,220,campus,TRUE,TRUE,FALSE,Education Campus,Regular,5,38.93350266,-76.97845637,Phase,inProgress,Unsatisfactory,TBD,FALSE,272,31,35,31,33,22,23,19,22,18,23,15,0,0,0,0,0,40,18,165,17,70,126
Burrville ES,221,es,TRUE,FALSE,FALSE,Elementary School,Regular,7,38.90056577,-76.92445918,Phase,inProgress,Unsatisfactory,TBD,FALSE,345,44,53,54,47,43,39,35,30,0,0,0,0,0,0,0,0,43,1,236,45,28,191
C.W. Harris ES,247,es,TRUE,FALSE,FALSE,Elementary School,Regular,7,38.88359883,-76.9261155,None,planned,Poor,Poor,TRUE,279,16,39,42,48,43,37,29,25,0,0,0,0,0,0,0,0,58,2,216,22,75,194
Capitol Hill Montessori @ Logan,360,campus,FALSE,FALSE,FALSE,Education Campus,Regular,6,38.89853031,-77.00256647,na,,na,TBD,FALSE,330,61,68,57,44,44,17,19,10,5,5,0,0,0,0,0,0,2,4,32,1,13,33
